Country Name,Country Code,Series Name,Series Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Seychelles,SYC,GDP (current US$),NY.GDP.MKTP.CD,977899381.818182,1081441283.31798,1077308813.82945,979597394.293453,850901620.433301,981616542.328454,1058918707.26124,1089407839.19709,1333160407.38516,1387577870.08161,1432403352.12944,1568513348.14463,1675370641.01416,1784313926.76807,1868690096.73454,1382551751.56908,1487173794.80528,2018346588.73752,2187379754.66167,2167239562.46013
Seychelles,SYC,GDP per capita (current US$),NY.GDP.PCAP.CD,11802.1118276833,12782.9938926475,12669.3026687222,11265.4376270005,9747.09180546291,10934.79494629,12110.0937461973,12337.1554669388,14821.2921476077,15188.1902175113,15333.1051727105,16566.9946042294,17480.3651911372,18440.2340460932,19141.5118743615,14041.4754074575,14982.9111487767,16836.6721895387,18262.7115849287,17858.8226383978
Seychelles,SYC,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1312972127.14609,1480770423.74559,1655883380.29255,1641779267.1996,1610948498.79379,1703983497.04141,1904526849.5446,1965962288.1898,2022705629.98449,2282561394.46641,2376133656.96414,2727776636.94028,2939950358.56908,3105218260.84621,3340635866.25777,3057830378.36233,2975737695.0276,3593088408.93978,3806479822.17321,4033634641.49159
Sierra Leone,SLE,GDP (current US$),NY.GDP.MKTP.CD,2545275312.60512,3263697466.73514,3632957611.35152,4157895298.19572,3953403098.37107,4262805966.78755,4861632884.67985,6141666509.36295,7502762862.72657,7686138790.90872,6788352974.78329,6084297211.10217,5749846528.48046,6390514688.52816,6526183564.19893,6693888876.28565,7173379137.26091,7124465159.65304,6411787856.06581,7547843281.27425
Sierra Leone,SLE,GDP per capita (current US$),NY.GDP.PCAP.CD,462.633324427945,580.26796974773,631.889926264998,705.359014080005,652.845806767943,685.039673490948,761.146365577281,937.504428180231,1117.47183075115,1117.7586465721,964.575980888989,844.416411175476,779.186007841728,845.914540460932,844.049555179116,845.982914284565,886.192939104469,860.774590932595,757.848680560444,873.388575182318
Sierra Leone,SLE,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,8882533946.52934,9548637953.60345,10175086579.955,10753417038.6619,10985371002.627,11825553291.1596,13047238199.0292,15180106235.0926,18132893193.6871,18992888503.1033,18016747683.9373,18985500633.4743,18458970768.5457,19947639782.9398,20916106901.8837,21532775187.7736,23085417016.3665,26045397865.5962,28523326333.4677,30381570304.5728
Singapore,SGP,GDP (current US$),NY.GDP.MKTP.CD,127807848728.398,148627286361.351,180941701357.97,193617323539.203,194150283771.566,239807980591.24,279356499090.458,295092888076.589,307576360584.992,314863580758.455,307998545269.398,319646468521.497,343673334902.33,377123710560.614,376161998830.048,349165858544.568,436591382250.464,509017841146.557,505439514078.019,547386645891.847
Singapore,SGP,GDP per capita (current US$),NY.GDP.PCAP.CD,29961.3172812732,33768.4528234651,39432.8860198877,40008.5720489092,38926.8054365453,47236.683084953,53891.4570264372,55547.5553077786,56967.4257940383,57564.8023114977,55645.6068614606,57005.5887176547,61236.251270627,66881.6067035265,65952.0378959293,61410.0792630788,80056.1288247844,90299.0694637269,85412.230345235,90674.066632628
Singapore,SGP,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,250919344759.03,281953944534.812,315718477176.864,327798172582.134,330241984295.075,382788414439.613,414966621180.859,436192127374.617,448607292111.358,462493850769.64,482409671479.023,504104924057.74,537340573560.544,586215721477.775,600787105909.488,577213563024.154,723237492898.215,806629380658.055,850875741862.077,909690217412.881
Sint Maarten (Dutch part),SXM,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,854972067.039106,892290502.793296,936089385.47486,985865921.787709,1022905027.93296,1361811508.37989,1417888715.0838,1427017206.70391,1353212122.90503,1259200446.92737,1407880446.92737,1236428100.55866,1353071061.45251,1537088715.0838,1627776949.27374,1735210227.92581
Sint Maarten (Dutch part),SXM,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,25528.412619483,26403.8143692163,27317.5178881974,28149.0997855041,28529.7324687053,37134.912423099,37839.6283815163,37308.6147795736,34701.3058494468,31708.3110124742,34861.469528968,30150.8998380477,32548.4366854902,36476.6300833859,38077.5444869761,40027.9175992113
Sint Maarten (Dutch part),SXM,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,..,..,..,..,1220883869.30056,1275264093.5472,1361446644.96573,1244034957.24634,1297132717.26644,1595754082.34087,1670741627.98452,1715280492.62225,1734514654.41279,1654131914.00095,1846228425.4425,1595272169.0693,1683919292.28275,1980763467.4678,2130016574.19517,2257875752.07463
Slovak Republic,SVK,GDP (current US$),NY.GDP.MKTP.CD,62547753148.4638,70751813442.9881,86587749517.9724,100830060552.902,89342984697.5246,91112160800.7668,99705104723.4341,94724394278.052,99134277850.3418,101713075598.862,89178548717.3324,90347173228.6356,95978130734.9766,106611673364.837,105843498304.094,107732602896.441,120560912620.599,115884262197.697,133896931490.224,141775733420.114
Slovak Republic,SVK,GDP per capita (current US$),NY.GDP.PCAP.CD,11641.5410321763,13167.8954730379,16110.4817265237,18744.3192278346,16586.7527805228,16899.448680529,18469.4354316836,17516.9691054078,18312.7805149823,18770.9289896545,16442.0760860018,16636.0769133073,17645.5298716761,19573.3717031314,19406.0589683582,19735.4858280801,22132.4483028948,21334.6011006572,24673.5482979144,26147.9028430133
Slovak Republic,SVK,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,89028795055.9132,101603248473.221,114119549668.013,127563859479.374,124239476858.982,136858656279.808,141446569656.423,146127789163.241,151983350436.957,157726426211.136,163560289937.06,162206967889.124,164513828512.121,171626766869.264,185362871936.432,192849134106.197,208880643198.039,223223380690.808,238504448129.551,255817817489.38
Slovenia,SVN,GDP (current US$),NY.GDP.MKTP.CD,35947936823.7781,39260368837.0342,47880266542.577,55509332322.3578,49975540954.8465,47793117240.9001,51199194599.3094,46167053954.3367,47867056858.8892,49514466379.6057,42709468274.8137,44290685824.0682,48153200134.6613,53689067639.9176,53909922735.545,53384760135.1581,61529280461.092,59927702746.2843,69148468417.3208,72485008929.2766
Slovenia,SVN,GDP per capita (current US$),NY.GDP.PCAP.CD,17969.7095907161,19563.005059144,23725.1596001515,27461.9764165315,24501.7897290425,23329.8417691156,24940.6284841605,22442.1417859955,23236.9655321695,24013.0682060959,20697.2748530619,21447.8377796036,23303.077705959,25888.0481065655,25814.1687167572,25392.0651093612,29187.369382785,28373.8382265999,32610.110922729,34089.3527652778
Slovenia,SVN,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,47375967613.7248,51328698168.0764,55435876564.1314,59549872276.1045,55508501254.0802,56505035971.223,58948688238.2166,59218840691.9658,61044782666.8722,63038801633.1833,64680613571.9783,69334151784.9407,74761997302.4595,80094210481.808,88491661031.4007,87812276776.0687,96790459870.841,107883106099.669,114403545993.986,120202434629.026
Solomon Islands,SLB,GDP (current US$),NY.GDP.MKTP.CD,552864570.225819,617258154.260133,695295347.621537,776337691.795098,805557562.580059,898133684.898793,1063895360.69907,1185215418.25562,1285911586.132,1335571420.72676,1307909887.55212,1379490304.2254,1469789119.08756,1615478393.28614,1619155017.3924,1536145814.17007,1522794913.0914,1566360686.10632,1660896530.71894,1760767447.17461
Solomon Islands,SLB,GDP per capita (current US$),NY.GDP.PCAP.CD,1144.45758513252,1255.62589099975,1390.1569662696,1525.85092434029,1554.70723718073,1685.15499035363,1924.05277323978,2066.25352289833,2161.39573596215,2164.9442392168,2045.47889485251,2082.62989047871,2143.57465243959,2278.20633913383,2223.66502559565,2063.33101522108,1996.86976779348,2005.4139933198,2076.10768772563,2149.37957267304
